"Title","Authors","Journal","Year"
"Swin transformer: Hierarchical vision transformer using shifted windows","Z Liu, Y Lin, Y Cao, H Hu, Y Wei - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Transformer tracking","X Chen, B Yan, J Zhu, D Wang - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Ensemble deep learning: A review","MA Ganaie, M Hu, AK Malik, M Tanveer -  Applications of Artificial , 2022 - Elsevier","¡¦ Applications of Artificial ¡¦","2022"
"Vision transformers for dense prediction","R Ranftl, A Bochkovskiy - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Dynamicvit: Efficient vision transformers with dynamic token sparsification","Y Rao, W Zhao, B Liu, J Lu, J Zhou - Advances in neural , 2021 - proceedings.neurips.cc","Advances in neural ¡¦","2021"
"LoFTR: Detector-free local feature matching with transformers","J Sun, Z Shen, Y Wang, H Bao - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Are transformers more robust than cnns?","Y Bai, J Mei, AL Yuille, C Xie - Advances in neural , 2021 - proceedings.neurips.cc","Advances in neural ¡¦","2021"
"Data-free knowledge distillation for heterogeneous federated learning","Z Zhu, J Hong, J Zhou - International conference on machine , 2021 - proceedings.mlr.press","International conference on machine ¡¦","2021"
"Learning nonlinear operators via DeepONet based on the universal approximation theorem of operators","L Lu, P Jin, G Pang, Z Zhang - Nature machine , 2021 - nature.com","Nature machine ¡¦","2021"
"A survey of quantization methods for efficient neural network inference","A Gholami, S Kim, Z Dong, Z Yao - Low-Power Computer , 2022 - taylorfrancis.com","Low-Power Computer ¡¦","2022"
"Hornet: Efficient high-order spatial interactions with recursive gated convolutions","Y Rao, W Zhao, Y Tang, J Zhou - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
"Cutpaste: Self-supervised learning for anomaly detection and localization","CL Li, K Sohn, J Yoon, T Pfister - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Convit: Improving vision transformers with soft convolutional inductive biases","S d'Ascoli, H Touvron, ML Leavitt - International , 2021 - proceedings.mlr.press","International ¡¦","2021"
"SpectralFormer: Rethinking hyperspectral image classification with transformers","D Hong, Z Han, J Yao, L Gao, B Zhang -  on Geoscience and , 2021 - ieeexplore.ieee.org","¡¦ on Geoscience and ¡¦","2021"
"Vitpose: Simple vision transformer baselines for human pose estimation","Y Xu, J Zhang, Q Zhang, D Tao - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
" Machine learning: Algorithms, real-world applications and research directions","IH Sarker - SN computer science, 2021 - Springer","SN computer science","2021"
"Conformer: Local features coupling global representations for visual recognition","Z Peng, W Huang, S Gu, L Xie - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"A survey of modern deep learning based object detection models","SSA Zaidi, MS Ansari, A Aslam, N Kanwal - Digital Signal , 2022 - Elsevier","Digital Signal ¡¦","2022"
"Detr3d: 3d object detection from multi-view images via 3d-to-2d queries","Y Wang, VC Guizilini, T Zhang -  on Robot Learning, 2022 - proceedings.mlr.press","¡¦ on Robot Learning","2022"
"Barlow twins: Self-supervised learning via redundancy reduction","J Zbontar, L Jing, I Misra, Y LeCun -  on Machine Learning, 2021 - proceedings.mlr.press","¡¦ on Machine Learning","2021"
"Coordinate attention for efficient mobile network design","Q Hou, D Zhou, J Feng -  of the IEEE/CVF conference on , 2021 - openaccess.thecvf.com","¡¦ of the IEEE/CVF conference on ¡¦","2021"
"Mobile-former: Bridging mobilenet and transformer","Y Chen, X Dai, D Chen, M Liu - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Self-supervised pre-training of swin transformers for 3d medical image analysis","Y Tang, D Yang, W Li, HR Roth - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Transformer in transformer","K Han, A Xiao, E Wu, J Guo, C Xu - Advances in Neural , 2021 - proceedings.neurips.cc","Advances in Neural ¡¦","2021"
"Learning spatio-temporal transformer for visual tracking","B Yan, H Peng, J Fu, D Wang - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"A survey on deep learning and its applications","S Dong, P Wang, K Abbas - Computer Science Review, 2021 - Elsevier","Computer Science Review","2021"
"Rethinking spatial dimensions of vision transformers","B Heo, S Yun, D Han, S Chun - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
