"Title","Authors","Journal","Year"
" Image matching from handcrafted to deep features: A survey","J Ma, X Jiang, A Fan, J Jiang, J Yan - International Journal of Computer , 2021 - Springer","International Journal of Computer ¡¦","2021"
"Knowledge distillation: A survey","J Gou, B Yu, SJ Maybank, D Tao - International Journal of Computer Vision, 2021 - Springer","International Journal of Computer Vision","2021"
"Action-conditioned 3D human motion synthesis with transformer VAE","M Petrovich, MJ Black, G Varol - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Egsde: Unpaired image-to-image translation via energy-guided stochastic differential equations","M Zhao, F Bao, C Li, J Zhu - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
"Self-supervised learning: Generative or contrastive","X Liu, F Zhang, Z Hou, L Mian, Z Wang - IEEE transactions on , 2021 - ieeexplore.ieee.org","IEEE transactions on ¡¦","2021"
"Domain adaptation for medical image analysis: a survey","H Guan, M Liu - IEEE Transactions on Biomedical Engineering, 2021 - ieeexplore.ieee.org","IEEE Transactions on Biomedical Engineering","2021"
"Datasetgan: Efficient labeled data factory with minimal human effort","Y Zhang, H Ling, J Gao, K Yin - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
" Transfer learning for medical image classification: a literature review","HE Kim, A Cosa-Linan, N Santhanam, M Jannesari - BMC medical , 2022 - Springer","BMC medical ¡¦","2022"
"Learning from noisy labels with deep neural networks: A survey","H Song, M Kim, D Park, Y Shin - IEEE Transactions on , 2022 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2022"
"Physics-informed machine learning: case studies for weather and climate modelling","K Kashinath, M Mustafa, A Albert -  of the Royal , 2021 - royalsocietypublishing.org","¡¦ of the Royal ¡¦","2021"
"Multi-mode data augmentation and fault diagnosis of rotating machinery using modified ACGAN designed with new framework","W Li, X Zhong, H Shao, B Cai, X Yang - Advanced Engineering Informatics, 2022 - Elsevier","Advanced Engineering Informatics","2022"
"Anomaly detection via reverse distillation from one-class embedding","H Deng, X Li - Proceedings of the IEEE/CVF Conference on , 2022 - openaccess.thecvf.com","Proceedings of the IEEE/CVF Conference on ¡¦","2022"
" Combustion machine learning: Principles, progress and prospects","M Ihme, WT Chung, AA Mishra - Progress in Energy and Combustion , 2022 - Elsevier","Progress in Energy and Combustion ¡¦","2022"
"Retinex-inspired unrolling with cooperative prior architecture search for low-light image enhancement","R Liu, L Ma, J Zhang, X Fan - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"What makes for good views for contrastive learning?","Y Tian, C Sun, B Poole, D Krishnan - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
"Editgan: High-precision semantic image editing","H Ling, K Kreis, D Li, SW Kim - Advances in Neural , 2021 - proceedings.neurips.cc","Advances in Neural ¡¦","2021"
"A comprehensive study of non-adaptive and residual-based adaptive sampling for physics-informed neural networks","C Wu, M Zhu, Q Tan, Y Kartha, L Lu - Computer Methods in Applied , 2023 - Elsevier","Computer Methods in Applied ¡¦","2023"
"Towards real-world blind face restoration with generative facial prior","X Wang, Y Li, H Zhang, Y Shan - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Towards language-free training for text-to-image generation","Y Zhou, R Zhang, C Chen, C Li - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
